sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0349	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03988	s0349-21N03988-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03988_S149_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03988_S149_L001_R2_001.fastq.gz	892072.359	926244.216
s0349	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03988	s0349-21N03988-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03988_S149_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03988_S149_L002_R2_001.fastq.gz	891342.493	926802.31
s0350	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03989	s0350-21N03989-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03989_S150_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03989_S150_L001_R2_001.fastq.gz	425529.704	456111.748
s0350	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03989	s0350-21N03989-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03989_S150_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03989_S150_L002_R2_001.fastq.gz	430896.121	462938.901
s0351	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03990	s0351-21N03990-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03990_S151_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03990_S151_L001_R2_001.fastq.gz	375141.359	397817.379
s0351	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03990	s0351-21N03990-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03990_S151_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03990_S151_L002_R2_001.fastq.gz	381282.765	404883.122
s0352	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03991	s0352-21N03991-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03991_S152_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03991_S152_L001_R2_001.fastq.gz	342568.792	365152.307
s0352	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03991	s0352-21N03991-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03991_S152_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03991_S152_L002_R2_001.fastq.gz	347193.706	370685.104
s0353	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03992	s0353-21N03992-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03992_S156_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03992_S156_L001_R2_001.fastq.gz	801624.922	838950.606
s0353	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03992	s0353-21N03992-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03992_S156_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03992_S156_L002_R2_001.fastq.gz	809396.726	847874.115
s0354	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03993	s0354-21N03993-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03993_S157_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03993_S157_L001_R2_001.fastq.gz	390336.13	414514.662
s0354	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03993	s0354-21N03993-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03993_S157_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03993_S157_L002_R2_001.fastq.gz	397248.211	422257.975
s0355	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03994	s0355-21N03994-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03994_S158_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03994_S158_L001_R2_001.fastq.gz	473503.193	492193.158
s0355	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03994	s0355-21N03994-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03994_S158_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03994_S158_L002_R2_001.fastq.gz	468546.31	487921.872
