vcf_name,ID_Berk,NMFS_DNA_ID,BOX_ID,BOX_POSITION,Population,Concentration (ng/ul),run_type
DPCh_plate2_D08_S128,CH_Plate2_8D,T148392,T1549,10B,Butte Creek Spring,42.8,Spring
DPCh_plate2_E01_S129,CH_Plate2_1E,T145061,T1515,1G,San Joaquin River Fall,179,Fall
DPCh_plate2_E02_S130,CH_Plate2_2E,T145069,T1515,2G,San Joaquin River Fall,94.6,Fall
DPCh_plate2_E03_S131,CH_Plate2_3E,T145087,T1515,5A,Coleman Hatchery Late Fall,77.6,Late Fall
DPCh_plate2_E04_S132,CH_Plate2_4E,T145102,T1515,6H,Coleman Hatchery Late Fall,90.2,Late Fall
DPCh_plate2_E05_S133,CH_Plate2_5E,T148333,T1549,2G,Sacramento River Winter,78.2,Winter
DPCh_plate2_E06_S134,CH_Plate2_6E,T148350,T1549,4H,Sacramento River Winter,78,Winter
DPCh_plate2_E07_S135,CH_Plate2_7E,T148370,T1549,7D,Butte Creek Spring,116,Spring
DPCh_plate2_E08_S136,CH_Plate2_8E,T148396,T1549,10F,Butte Creek Spring,28.4,Spring
DPCh_plate2_F01_S137,CH_Plate2_1F,T145062,T1515,1H,San Joaquin River Fall,92.4,Fall
DPCh_plate2_F02_S138,CH_Plate2_2F,T145070,T1515,2H,San Joaquin River Fall,98.8,Fall
DPCh_plate2_F03_S139,CH_Plate2_3F,T145088,T1515,5B,Coleman Hatchery Late Fall,104,Late Fall
DPCh_plate2_F04_S140,CH_Plate2_4F,T145103,T1515,7A,Coleman Hatchery Late Fall,133,Late Fall
DPCh_plate2_F05_S141,CH_Plate2_5F,T148335,T1549,3A,Sacramento River Winter,92.2,Winter
DPCh_plate2_F06_S142,CH_Plate2_6F,T148351,T1549,5A,Sacramento River Winter,59,Winter
DPCh_plate2_F07_S143,CH_Plate2_7F,T148371,T1549,7E,Butte Creek Spring,56.8,Spring
DPCh_plate2_F08_S144,CH_Plate2_8F,T148397,T1549,10G,Butte Creek Spring,46.8,Spring
DPCh_plate2_G01_S145,CH_Plate2_1G,T145063,T1515,2A,San Joaquin River Fall,141,Fall
DPCh_plate2_G02_S146,CH_Plate2_2G,T145071,T1515,3A,San Joaquin River Fall,98.2,Fall
DPCh_plate2_G03_S147,CH_Plate2_3G,T145089,T1515,5C,Coleman Hatchery Late Fall,104,Late Fall
DPCh_plate2_G04_S148,CH_Plate2_4G,T145104,T1515,7B,Coleman Hatchery Late Fall,155,Late Fall
DPCh_plate2_G05_S149,CH_Plate2_5G,T148337,T1549,3C,Sacramento River Winter,70,Winter
DPCh_plate2_G06_S150,CH_Plate2_6G,T148352,T1549,5B,Sacramento River Winter,80.4,Winter
DPCh_plate2_G07_S151,CH_Plate2_7G,T148372,T1549,7F,Butte Creek Spring,44.8,Spring
DPCh_plate2_G08_S152,CH_Plate2_8G,T148407,T1549,12A,Butte Creek Spring,43.8,Spring
DPCh_plate2_H01_S153,CH_Plate2_1H,T145064,T1515,2B,San Joaquin River Fall,116,Fall
DPCh_plate2_H02_S154,CH_Plate2_2H,T145073,T1515,3C,San Joaquin River Fall,123,Fall
DPCh_plate2_H03_S155,CH_Plate2_3H,T145091,T1515,5E,Coleman Hatchery Late Fall,45.4,Late Fall
DPCh_plate2_H04_S156,CH_Plate2_4H,T145105,T1515,7C,Coleman Hatchery Late Fall,105,Late Fall
DPCh_plate2_H05_S157,CH_Plate2_5H,T148340,T1549,3F,Sacramento River Winter,62.8,Winter
DPCh_plate2_H06_S158,CH_Plate2_6H,T148353,T1549,5C,Sacramento River Winter,72,Winter
DPCh_plate2_H07_S159,CH_Plate2_7H,T148373,T1549,7G,Butte Creek Spring,39.2,Spring
DPCh_plate2_H08_S160,CH_Plate2_8H,T148412,T1549,12F,Butte Creek Spring,37,Spring
