sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
15	1	clam	hc	ILLUMINA	clam15	15	15	all_samples_raw/QOE2503090-5UDI428-7UDI411_20250318143841872379.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI428-7UDI411_20250318143841872379.R2.fastq.gz	1075747	1087437
16	1	clam	hc	ILLUMINA	clam16	16	16	all_samples_raw/QOE2503090-5UDI428-7UDI414_20250318143841872382.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI428-7UDI414_20250318143841872382.R2.fastq.gz	1134563	1144307
17	1	clam	hc	ILLUMINA	clam17	17	17	all_samples_raw/QOE2503116-5UDI417-7UDI411_20250316100943842330.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI411_20250316100943842330.R2.fastq.gz	515357	539685
18	1	clam	hc	ILLUMINA	clam18	18	18	all_samples_raw/QOE2503116-5UDI417-7UDI414_20250316100943842358.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI414_20250316100943842358.R2.fastq.gz	375297	404649
19	1	clam	hc	ILLUMINA	clam19	19	19	all_samples_raw/QOE2503116-5UDI417-7UDI415_20250316100943842363.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI415_20250316100943842363.R2.fastq.gz	387351	391689
20	1	clam	hc	ILLUMINA	clam20	20	20	all_samples_raw/QOE2503116-5UDI417-7UDI417_20250316100943842367.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI417_20250316100943842367.R2.fastq.gz	429197	437676
21	1	clam	hc	ILLUMINA	clam21	21	21	all_samples_raw/QOE2503116-5UDI417-7UDI418_20250316100943842370.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI418_20250316100943842370.R2.fastq.gz	392844	407570
22	1	clam	hc	ILLUMINA	clam22	22	22	all_samples_raw/QOE2503116-5UDI417-7UDI419_20250316100943842373.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI419_20250316100943842373.R2.fastq.gz	419427	435654
23	1	clam	hc	ILLUMINA	clam23	23	23	all_samples_raw/QOE2503116-5UDI417-7UDI421_20250316100943842376.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI421_20250316100943842376.R2.fastq.gz	380858	404644
24	1	clam	hc	ILLUMINA	clam24	24	24	all_samples_raw/QOE2503116-5UDI417-7UDI423_20250316100943842380.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI417-7UDI423_20250316100943842380.R2.fastq.gz	424778	438480
25	1	clam	hc	ILLUMINA	clam25	25	25	all_samples_raw/QOE2503116-5UDI418-7UDI411_20250316100943842383.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI411_20250316100943842383.R2.fastq.gz	442853	456394
26	1	clam	hc	ILLUMINA	clam26	26	26	all_samples_raw/QOE2503116-5UDI418-7UDI414_20250316100943842386.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI414_20250316100943842386.R2.fastq.gz	366592	388209
27	1	clam	hc	ILLUMINA	clam27	27	27	all_samples_raw/QOE2503116-5UDI418-7UDI415_20250316100943842389.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI415_20250316100943842389.R2.fastq.gz	387440	387938
28	1	clam	hc	ILLUMINA	clam28	28	28	all_samples_raw/QOE2503116-5UDI418-7UDI417_20250316100943842393.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI417_20250316100943842393.R2.fastq.gz	387440	387938
29	1	clam	hc	ILLUMINA	clam29	29	29	all_samples_raw/QOE2503116-5UDI418-7UDI418_20250316100943842396.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI418_20250316100943842396.R2.fastq.gz	361252	370362
30	1	clam	hc	ILLUMINA	clam30	30	30	all_samples_raw/QOE2503116-5UDI418-7UDI419_20250316100943842399.R1.fastq.gz	all_samples_raw/QOE2503116-5UDI418-7UDI419_20250316100943842399.R2.fastq.gz	401422	411892
